gender,race,race_o,samerace,attractive_partner,sincere_partner,funny_partner,intelligence_partner,ambition_partner,interests_correlate,decision
female,asian,caucasian,0,6.0,9.0,7.0,7.0,6.0,0.14,1
female,asian,caucasian,0,7.0,8.0,8.0,7.0,5.0,0.54,1
female,asian,asian,1,5.0,8.0,8.0,9.0,5.0,0.16,1
female,asian,caucasian,0,7.0,6.0,7.0,8.0,6.0,0.61,1
female,asian,caucasian,0,4.0,9.0,4.0,7.0,6.0,0.25,0
female,asian,caucasian,0,7.0,6.0,4.0,7.0,6.0,0.34,1
female,asian,caucasian,0,4.0,9.0,6.0,7.0,5.0,0.5,0
female,asian,caucasian,0,7.0,6.0,9.0,8.0,8.0,0.28,1
female,asian,caucasian,0,5.0,6.0,8.0,6.0,10.0,-0.36,1
female,caucasian,caucasian,1,5.0,7.0,4.0,8.0,6.0,0.29,0
female,caucasian,caucasian,1,8.0,5.0,6.0,6.0,9.0,0.18,0
female,caucasian,asian,0,5.0,8.0,6.0,9.0,3.0,0.1,0
female,caucasian,caucasian,1,8.0,7.0,3.0,8.0,6.0,0.73,0
female,caucasian,caucasian,1,5.0,8.0,5.0,7.0,9.0,0.07,0
female,caucasian,caucasian,1,6.0,7.0,7.0,8.0,9.0,0.39,1
female,caucasian,caucasian,1,7.0,9.0,7.0,10.0,8.0,-0.24,0
female,caucasian,caucasian,1,9.0,7.0,8.0,9.0,9.0,-0.14,0
female,caucasian,caucasian,1,9.0,7.0,7.0,9.0,9.0,-0.04,0
female,caucasian,latino,0,9.0,10.0,10.0,10.0,10.0,-0.14,0
female,caucasian,caucasian,1,8.0,10.0,7.0,10.0,9.0,-0.3,0
female,caucasian,caucasian,1,8.0,9.0,7.0,10.0,7.0,-0.26,0
female,caucasian,caucasian,1,9.0,9.0,9.0,9.0,9.0,-0.15,0
female,caucasian,caucasian,1,8.0,7.0,7.0,9.0,9.0,-0.47,0
female,caucasian,caucasian,1,8.0,7.0,10.0,8.0,7.0,-0.18,0
female,caucasian,asian,0,4.0,7.0,8.0,8.0,6.0,0.05,0
female,caucasian,caucasian,1,8.0,10.0,10.0,7.0,7.0,-0.18,1
female,caucasian,latino,0,6.0,9.0,9.0,8.0,8.0,0.21,0
female,caucasian,caucasian,1,7.0,10.0,7.0,10.0,10.0,0.35,0
female,caucasian,caucasian,1,9.0,8.0,10.0,10.0,7.0,-0.47,1
female,caucasian,caucasian,1,8.0,9.0,10.0,10.0,8.0,-0.19,1
female,caucasian,caucasian,1,5.0,8.0,2.0,8.0,2.0,-0.43,0
female,caucasian,caucasian,1,8.0,6.0,5.0,6.0,5.0,0.0,0
female,caucasian,asian,0,4.0,6.0,8.0,8.0,6.0,-0.17,0
female,caucasian,caucasian,1,8.0,5.0,7.0,5.0,7.0,0.08,1
female,caucasian,latino,0,6.0,7.0,5.0,7.0,4.0,-0.16,0
female,caucasian,caucasian,1,5.0,6.0,5.0,7.0,7.0,0.06,1
female,caucasian,caucasian,1,6.0,6.0,5.0,8.0,5.0,-0.05,1
female,caucasian,caucasian,1,5.0,5.0,6.0,7.0,7.0,0.07,1
female,caucasian,caucasian,1,7.0,5.0,8.0,7.0,7.0,-0.13,1
female,caucasian,caucasian,1,9.0,6.0,9.0,7.0,6.0,-0.06,1
female,asian,caucasian,0,6.0,9.0,6.0,7.0,7.0,0.33,1
female,asian,caucasian,0,6.0,9.0,6.0,9.0,8.0,0.37,1
female,asian,caucasian,0,8.0,6.0,8.0,7.0,2.0,0.12,1
female,asian,latino,0,5.0,4.0,8.0,8.0,4.0,0.35,0
female,asian,caucasian,0,3.0,7.0,1.0,6.0,1.0,0.19,0
female,asian,caucasian,0,8.0,8.0,8.0,8.0,3.0,0.47,1
female,asian,caucasian,0,4.0,8.0,2.0,9.0,8.0,0.03,0
female,asian,caucasian,0,7.0,6.0,8.0,8.0,6.0,0.46,1
female,asian,caucasian,0,8.0,9.0,9.0,9.0,10.0,0.43,1
female,asian,caucasian,0,4.0,8.0,5.0,8.0,7.0,0.19,0
female,asian,caucasian,0,6.0,6.0,4.0,8.0,9.0,0.21,0
female,asian,asian,1,3.0,6.0,7.0,8.0,8.0,0.52,0
female,asian,caucasian,0,7.0,8.0,7.0,8.0,7.0,-0.46,1
female,asian,latino,0,4.0,7.0,4.0,7.0,8.0,-0.27,0
female,asian,caucasian,0,4.0,8.0,4.0,7.0,5.0,0.59,0
female,asian,caucasian,0,7.0,7.0,7.0,8.0,7.0,0.31,1
female,asian,caucasian,0,5.0,7.0,5.0,8.0,9.0,0.08,0
female,asian,caucasian,0,6.0,6.0,8.0,8.0,8.0,-0.34,1
